COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2010,19.31
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,5.572
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2010,29.623
Bangladesh,Unemployment rate,Annual,Units,2010,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-0.683
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,6.214
Brazil,Unemployment rate,Annual,Units,2010,8.034
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,1.58
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2010,62.433
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2010,39.516
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,3.33
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,3.874
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,5.247
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2010,33.343
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,0.088
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2010,24.664
"China, People's Republic of",Unemployment rate,Annual,Units,2010,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2010,95.347
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-2.289
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2010,48.115
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2010,81.009
India,"Expenditure, General government, Percent of GDP",Annual,Units,2010,27.985
India,Unemployment rate,Annual,Units,2010,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-0.07
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2010,118.737
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2010,49.799
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,4.766
Myanmar,Unemployment rate,Annual,Units,2010,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,5.924
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2010,58.845
Russian Federation,Unemployment rate,Annual,Units,2010,7.358
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-3.079
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2010,35.505
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,4.13
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,4.512
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-1.833
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-2.284
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-1.409
Sri Lanka,Unemployment rate,Annual,Units,2010,5.0
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,8.016
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2010,28.34
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2010,31.185
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2010,39.511
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,0.444
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2010,35.478
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2010,39.763
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-8.966
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,7.316
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,2.346
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2010,10.601
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-3.926
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,7.528
France,Unemployment rate,Annual,Units,2010,9.267
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,1.843
France,"Gross debt, General government, Percent of GDP",Annual,Units,2010,86.279
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-4.866
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-0.629
France,"Expenditure, General government, Percent of GDP",Annual,Units,2010,57.718
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,1.119
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,5.742
Germany,Unemployment rate,Annual,Units,2010,6.575
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,4.147
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-2.857
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,8.498
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,9.368
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,1.529
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,1.62
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-3.223
Italy,Unemployment rate,Annual,Units,2010,8.508
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-8.0
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,3.838
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,-0.742
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,4.098
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2010,37.745
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2010,205.879
Japan,Unemployment rate,Annual,Units,2010,5.058
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,4.235
South Africa,Unemployment rate,Annual,Units,2010,24.875
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-1.336
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,3.04
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,8.566
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,8.427
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-5.739
"Türkiye, Republic of",Unemployment rate,Annual,Units,2010,11.0
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-2.761
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2010,44.705
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-6.684
United Kingdom,Unemployment rate,Annual,Units,2010,7.9
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,2.233
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,3.298
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,2.695
United States,Unemployment rate,Annual,Units,2010,9.608
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,1.637
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2010,-2.871
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,1.738
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2010,10.587
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2010,75.86
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-4.497
India,"Gross debt, General government, Percent of GDP",Annual,Units,2010,67.702
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2010,-3.99
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,5.039
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2011,15.607
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2011,69.428
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,8.44
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2011,10.34
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2011,19.132
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,6.464
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2011,29.393
Bangladesh,Unemployment rate,Annual,Units,2011,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-1.589
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,6.73
Brazil,Unemployment rate,Annual,Units,2011,7.58
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,2.737
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2011,60.634
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2011,39.367
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,5.416
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,1.785
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,5.471
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2011,33.184
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,0.388
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2011,26.647
"China, People's Republic of",Unemployment rate,Annual,Units,2011,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2011,99.681
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,1.155
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2011,45.275
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2011,78.458
India,"Expenditure, General government, Percent of GDP",Annual,Units,2011,27.641
India,Unemployment rate,Annual,Units,2011,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,0.89
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2011,119.106
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2011,49.027
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-1.904
Myanmar,Unemployment rate,Annual,Units,2011,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,6.829
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2011,54.028
Russian Federation,Unemployment rate,Annual,Units,2011,6.508
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,1.709
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2011,33.261
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,4.753
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,3.995
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-6.814
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-1.402
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-1.248
Sri Lanka,Unemployment rate,Annual,Units,2011,4.1
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,8.669
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2011,28.08
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2011,34.742
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2011,35.912
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,2.132
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2011,32.812
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2011,38.796
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-7.419
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,8.787
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-1.445
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2011,11.534
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-3.197
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,3.974
France,Unemployment rate,Annual,Units,2011,9.208
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,2.485
France,"Gross debt, General government, Percent of GDP",Annual,Units,2011,88.748
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-2.814
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-0.858
France,"Expenditure, General government, Percent of GDP",Annual,Units,2011,57.009
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,2.482
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,6.29
Germany,Unemployment rate,Annual,Units,2011,5.517
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,3.764
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-4.29
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,5.241
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,8.112
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,0.695
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,2.935
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-2.742
Italy,Unemployment rate,Annual,Units,2011,8.575
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-7.784
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,2.084
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,-0.277
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,0.024
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2011,38.627
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2011,219.162
Japan,Unemployment rate,Annual,Units,2011,4.583
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,4.98
South Africa,Unemployment rate,Annual,Units,2011,24.8
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-2.006
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,3.169
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,6.472
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,11.2
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-8.879
"Türkiye, Republic of",Unemployment rate,Annual,Units,2011,9.0
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-1.63
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2011,43.503
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-4.577
United Kingdom,Unemployment rate,Annual,Units,2011,8.1
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,1.138
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,4.464
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,1.564
United States,Unemployment rate,Annual,Units,2011,8.933
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,3.14
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2011,-2.919
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,2.287
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2011,9.451
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2011,81.425
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-4.003
India,"Gross debt, General government, Percent of GDP",Annual,Units,2011,68.648
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2011,-3.411
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,6.636
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2012,19.95
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2012,67.504
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,5.075
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2012,11.167
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2012,17.315
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,6.521
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2012,29.078
Bangladesh,Unemployment rate,Annual,Units,2012,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-0.993
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,7.547
Brazil,Unemployment rate,Annual,Units,2012,6.9
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,2.221
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2012,61.614
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2012,39.31
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,2.621
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,2.481
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,6.486
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2012,33.825
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,0.184
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2012,27.694
"China, People's Republic of",Unemployment rate,Annual,Units,2012,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2012,103.244
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,1.78
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2012,45.083
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2012,79.804
India,"Expenditure, General government, Percent of GDP",Annual,Units,2012,27.364
India,Unemployment rate,Annual,Units,2012,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,1.966
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2012,125.87
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2012,50.481
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-1.835
Myanmar,Unemployment rate,Annual,Units,2012,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,0.36
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2012,51.911
Russian Federation,Unemployment rate,Annual,Units,2012,5.45
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,0.655
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2012,34.029
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,3.253
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,4.024
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-5.655
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-1.595
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-0.895
Sri Lanka,Unemployment rate,Annual,Units,2012,4.0
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,8.632
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2012,28.619
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2012,37.408
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2012,32.227
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,0.694
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2012,34.134
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2012,37.223
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-5.905
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,8.889
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-0.28
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2012,11.695
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-3.761
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,1.921
France,Unemployment rate,Annual,Units,2012,9.767
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,0.221
France,"Gross debt, General government, Percent of GDP",Annual,Units,2012,91.74
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-2.706
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-2.132
France,"Expenditure, General government, Percent of GDP",Annual,Units,2012,57.89
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,2.159
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,7.188
Germany,Unemployment rate,Annual,Units,2012,5.083
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,0.469
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-4.806
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,5.456
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,10.049
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,-3.125
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,3.315
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-0.201
Italy,Unemployment rate,Annual,Units,2012,10.892
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-6.973
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,0.951
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,-0.049
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,1.375
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2012,38.638
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2012,226.093
Japan,Unemployment rate,Annual,Units,2012,4.325
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,5.651
South Africa,Unemployment rate,Annual,Units,2012,24.875
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-4.689
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,2.396
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,8.892
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,4.788
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-4.762
"Türkiye, Republic of",Unemployment rate,Annual,Units,2012,8.3
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-3.146
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2012,43.553
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-5.089
United Kingdom,Unemployment rate,Annual,Units,2012,7.95
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,1.509
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,2.828
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,2.289
United States,Unemployment rate,Annual,Units,2012,8.075
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,2.073
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2012,-2.573
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,2.217
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2012,7.848
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2012,84.483
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-3.191
India,"Gross debt, General government, Percent of GDP",Annual,Units,2012,67.985
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2012,-1.295
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,5.404
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2013,23.891
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2013,69.457
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,6.754
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2013,12.348
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2013,16.609
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,6.014
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2013,28.344
Bangladesh,Unemployment rate,Annual,Units,2013,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-1.219
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,6.884
Brazil,Unemployment rate,Annual,Units,2013,7.225
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,1.52
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2013,59.595
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2013,39.78
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,2.625
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,1.515
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2013,7.899
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2013,36.438
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-0.318
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2013,28.104
"China, People's Republic of",Unemployment rate,Annual,Units,2013,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2013,104.522
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,1.555
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2013,45.151
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2013,77.435
India,"Expenditure, General government, Percent of GDP",Annual,Units,2013,26.6
India,Unemployment rate,Annual,Units,2013,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,1.746
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2013,131.816
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2013,50.901
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2013,-1.197
Myanmar,Unemployment rate,Annual,Units,2013,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,6.382
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2013,48.52
Russian Federation,Unemployment rate,Annual,Units,2013,5.5
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2013,-0.825
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2013,34.652
