COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,year,value,TYPE_OF_TRANSFORMATION,2024
Sri Lanka,,Domestic currency per US Dollar,,Annual,Units,2016,145.5816674920256,Period average,
"Türkiye, Republic of",,Domestic currency per US Dollar,,Annual,Units,2016,3.02013474808043,Period average,
"China, People's Republic of",,Domestic currency per US Dollar,,Annual,Units,2016,6.644477829446805,Period average,
Brazil,,Domestic currency per US Dollar,,Annual,Units,2016,3.491313421572705,Period average,
Russian Federation,,Domestic currency per US Dollar,,Annual,Units,2016,67.05593333333331,Period average,
Japan,,Domestic currency per US Dollar,,Annual,Units,2016,108.7929000468342,Period average,
United States,,Domestic currency per US Dollar,,Annual,Units,2016,1.0,Period average,
South Africa,,Domestic currency per US Dollar,,Annual,Units,2016,14.70961088552673,Period average,
United Kingdom,,Domestic currency per US Dollar,,Annual,Units,2016,0.7406344636970842,Period average,
India,,Domestic currency per US Dollar,,Annual,Units,2016,67.19531280738939,Period average,
French Polynesia,,Domestic currency per US Dollar,,Annual,Units,2016,107.806815805024,Period average,
Bangladesh,,Domestic currency per US Dollar,,Annual,Units,2016,78.46809166666668,Period average,
Myanmar,,Domestic currency per US Dollar,,Annual,Units,2017,1360.358707040852,Period average,
Sri Lanka,,Domestic currency per US Dollar,,Annual,Units,2017,152.4464139487672,Period average,
"Türkiye, Republic of",,Domestic currency per US Dollar,,Annual,Units,2017,3.648132635368665,Period average,
"China, People's Republic of",,Domestic currency per US Dollar,,Annual,Units,2017,6.758755086335972,Period average,
Brazil,,Domestic currency per US Dollar,,Annual,Units,2017,3.19138944630048,Period average,
Russian Federation,,Domestic currency per US Dollar,,Annual,Units,2017,58.34280118517192,Period average,
Japan,,Domestic currency per US Dollar,,Annual,Units,2017,112.1661410818712,Period average,
United States,,Domestic currency per US Dollar,,Annual,Units,2017,1.0,Period average,
South Africa,,Domestic currency per US Dollar,,Annual,Units,2017,13.32380142449915,Period average,
United Kingdom,,Domestic currency per US Dollar,,Annual,Units,2017,0.7769766823441225,Period average,
India,,Domestic currency per US Dollar,,Annual,Units,2017,65.12156864506595,Period average,
French Polynesia,,Domestic currency per US Dollar,,Annual,Units,2017,105.633078151149,Period average,
Bangladesh,,Domestic currency per US Dollar,,Annual,Units,2017,80.43754166666668,Period average,
Myanmar,,Domestic currency per US Dollar,,Annual,Units,2018,1429.807975201071,Period average,
Sri Lanka,,Domestic currency per US Dollar,,Annual,Units,2018,162.4648587367782,Period average,
"Türkiye, Republic of",,Domestic currency per US Dollar,,Annual,Units,2018,4.82837014720942,Period average,
"China, People's Republic of",,Domestic currency per US Dollar,,Annual,Units,2018,6.615957177354392,Period average,
Brazil,,Domestic currency per US Dollar,,Annual,Units,2018,3.653825361457552,Period average,
Russian Federation,,Domestic currency per US Dollar,,Annual,Units,2018,62.66813333333335,Period average,
Japan,,Domestic currency per US Dollar,,Annual,Units,2018,110.4231793410602,Period average,
United States,,Domestic currency per US Dollar,,Annual,Units,2018,1.0,Period average,
South Africa,,Domestic currency per US Dollar,,Annual,Units,2018,13.23392647158334,Period average,
United Kingdom,,Domestic currency per US Dollar,,Annual,Units,2018,0.7495315402598468,Period average,
India,,Domestic currency per US Dollar,,Annual,Units,2018,68.38946709354215,Period average,
French Polynesia,,Domestic currency per US Dollar,,Annual,Units,2018,101.046821879543,Period average,
Bangladesh,,Domestic currency per US Dollar,,Annual,Units,2018,83.46620191666665,Period average,
Myanmar,,Domestic currency per US Dollar,,Annual,Units,2019,1518.255116666666,Period average,
Sri Lanka,,Domestic currency per US Dollar,,Annual,Units,2019,178.7449250458478,Period average,
"Türkiye, Republic of",,Domestic currency per US Dollar,,Annual,Units,2019,5.673819308435742,Period average,
"China, People's Republic of",,Domestic currency per US Dollar,,Annual,Units,2019,6.908385009929012,Period average,
Brazil,,Domestic currency per US Dollar,,Annual,Units,2019,3.944471097250702,Period average,
Russian Federation,,Domestic currency per US Dollar,,Annual,Units,2019,64.73765833333331,Period average,
Japan,,Domestic currency per US Dollar,,Annual,Units,2019,109.0096659008632,Period average,
United States,,Domestic currency per US Dollar,,Annual,Units,2019,1.0,Period average,
South Africa,,Domestic currency per US Dollar,,Annual,Units,2019,14.44842705483334,Period average,
United Kingdom,,Domestic currency per US Dollar,,Annual,Units,2019,0.783445110011929,Period average,
India,,Domestic currency per US Dollar,,Annual,Units,2019,70.42034053595508,Period average,
French Polynesia,,Domestic currency per US Dollar,,Annual,Units,2019,106.588933804405,Period average,
Bangladesh,,Domestic currency per US Dollar,,Annual,Units,2019,84.4535225,Period average,
Myanmar,,Domestic currency per US Dollar,,Annual,Units,2020,1381.619166666667,Period average,
Sri Lanka,,Domestic currency per US Dollar,,Annual,Units,2020,185.5925577722129,Period average,
"Türkiye, Republic of",,Domestic currency per US Dollar,,Annual,Units,2020,7.008605415585218,Period average,
"China, People's Republic of",,Domestic currency per US Dollar,,Annual,Units,2020,6.900767269449248,Period average,
Brazil,,Domestic currency per US Dollar,,Annual,Units,2020,5.155178787512808,Period average,
Russian Federation,,Domestic currency per US Dollar,,Annual,Units,2020,72.10490833333331,Period average,
Japan,,Domestic currency per US Dollar,,Annual,Units,2020,106.7745822624372,Period average,
United States,,Domestic currency per US Dollar,,Annual,Units,2020,1.0,Period average,
South Africa,,Domestic currency per US Dollar,,Annual,Units,2020,16.45910539033333,Period average,
United Kingdom,,Domestic currency per US Dollar,,Annual,Units,2020,0.7799995766971533,Period average,
India,,Domestic currency per US Dollar,,Annual,Units,2020,74.09956688360525,Period average,
French Polynesia,,Domestic currency per US Dollar,,Annual,Units,2020,104.710608186968,Period average,
Bangladesh,,Domestic currency per US Dollar,,Annual,Units,2020,84.87139166666668,Period average,
Myanmar,,Domestic currency per US Dollar,,Annual,Units,2021,,Period average,
Sri Lanka,,Domestic currency per US Dollar,,Annual,Units,2021,198.7643168446561,Period average,
"Türkiye, Republic of",,Domestic currency per US Dollar,,Annual,Units,2021,8.850407549283148,Period average,
"China, People's Republic of",,Domestic currency per US Dollar,,Annual,Units,2021,6.44897518024316,Period average,
Brazil,,Domestic currency per US Dollar,,Annual,Units,2021,5.39440078962503,Period average,
Russian Federation,,Domestic currency per US Dollar,,Annual,Units,2021,73.65435,Period average,
Japan,,Domestic currency per US Dollar,,Annual,Units,2021,109.7543238394172,Period average,
United States,,Domestic currency per US Dollar,,Annual,Units,2021,1.0,Period average,
South Africa,,Domestic currency per US Dollar,,Annual,Units,2021,14.77867821391667,Period average,
United Kingdom,,Domestic currency per US Dollar,,Annual,Units,2021,0.7270649446883225,Period average,
India,,Domestic currency per US Dollar,,Annual,Units,2021,73.91801281543512,Period average,
French Polynesia,,Domestic currency per US Dollar,,Annual,Units,2021,100.880222566186,Period average,
Bangladesh,,Domestic currency per US Dollar,,Annual,Units,2021,85.08376325,Period average,
Myanmar,,Domestic currency per US Dollar,,Annual,Units,2022,,Period average,
Sri Lanka,,Domestic currency per US Dollar,,Annual,Units,2022,322.6326742564745,Period average,
"Türkiye, Republic of",,Domestic currency per US Dollar,,Annual,Units,2022,16.54886041730672,Period average,
"China, People's Republic of",,Domestic currency per US Dollar,,Annual,Units,2022,6.737158112371188,Period average,
Brazil,,Domestic currency per US Dollar,,Annual,Units,2022,5.163970291021112,Period average,
Russian Federation,,Domestic currency per US Dollar,,Annual,Units,2022,68.48494166666669,Period average,
Japan,,Domestic currency per US Dollar,,Annual,Units,2022,131.4981404437639,Period average,
United States,,Domestic currency per US Dollar,,Annual,Units,2022,1.0,Period average,
South Africa,,Domestic currency per US Dollar,,Annual,Units,2022,16.3558534845,Period average,
United Kingdom,,Domestic currency per US Dollar,,Annual,Units,2022,0.8113017158277732,Period average,
India,,Domestic currency per US Dollar,,Annual,Units,2022,78.60449058299157,Period average,
French Polynesia,,Domestic currency per US Dollar,,Annual,Units,2022,113.474367224106,Period average,
Bangladesh,,Domestic currency per US Dollar,,Annual,Units,2022,91.7454544396961,Period average,
Myanmar,,Domestic currency per US Dollar,,Annual,Units,2023,,Period average,
Sri Lanka,,Domestic currency per US Dollar,,Annual,Units,2023,327.5065333333332,Period average,
"Türkiye, Republic of",,Domestic currency per US Dollar,,Annual,Units,2023,23.73856612199181,Period average,
"China, People's Republic of",,Domestic currency per US Dollar,,Annual,Units,2023,7.083998423436308,Period average,
Brazil,,Domestic currency per US Dollar,,Annual,Units,2023,4.99437976287199,Period average,
Russian Federation,,Domestic currency per US Dollar,,Annual,Units,2023,85.16200833333332,Period average,
Japan,,Domestic currency per US Dollar,,Annual,Units,2023,140.4911000623402,Period average,
United States,,Domestic currency per US Dollar,,Annual,Units,2023,1.0,Period average,
South Africa,,Domestic currency per US Dollar,,Annual,Units,2023,18.4502441785,Period average,
United Kingdom,,Domestic currency per US Dollar,,Annual,Units,2023,0.8045389067343528,Period average,
India,,Domestic currency per US Dollar,,Annual,Units,2023,82.59927644607845,Period average,
French Polynesia,,Domestic currency per US Dollar,,Annual,Units,2023,110.34717131744,Period average,
Bangladesh,,Domestic currency per US Dollar,,Annual,Units,2023,106.3094842974834,Period average,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,637701.842377847,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,8018804.468358271,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,24279619.37543121,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,424512.8259093383,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,2640566.966324437,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,34742.70592967109,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,3099618.261138441,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,15476.6464557278,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,1152738.704937669,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,16214959.55488799,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,562806.4178097578,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,7919079.478417723,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,1485388.145951291,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,661056.0644236921,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,8213976.996461218,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,26664257.9577894,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,380836.7284488034,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,3220300.798343719,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,35244.71579427456,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,3050066.254492913,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,19085.4196161534,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,1095447.048257709,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,39429.0144414474,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,17401706.7570852,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,513912.8048737574,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,7920728.727381057,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,1470928.965310126,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,746851.442060988,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,8819004.54041897,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,27080174.37225583,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,431438.8636828812,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,3557250.559628973,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,37002.52001061299,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,3307009.16271479,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,10814.9661600234,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,1238366.644352912,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,45601.7137203771,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,17243860.70332696,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,666171.3399261821,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,8423310.783526951,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,1533867.944679684,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,783707.5659319676,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,8609427.698056022,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,29513421.11908352,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,408963.6400359483,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,4202137.221157565,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,42155.98029116085,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,3415025.810594709,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,13337.8793099241,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,1289112.72659488,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,47808.4959092055,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,16491545.88816589,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,636809.8468917427,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,8875025.32898588,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,1483653.532013767,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,854505.1899590082,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,8258846.528870333,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,31828303.53584489,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,426132.7142239079,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,4873558.676895849,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,50875.56779692232,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,3234535.262470051,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,17201.2593295457,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,964950.31606916,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,52811.2097045173,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,16669092.750941,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,692110.1478954658,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,8648624.483820993,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,1528633.873816569,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,899757.2088924908,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,7443199.419880477,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,30892217.01878358,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,356651.20310079,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,4524314.114557125,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,55360.77089123161,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,3001857.567587675,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,20497.4802474324,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,838767.9502547111,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,53740.2371763087,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,14937130.45013615,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,600963.5743645387,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,7754893.846896145,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,1183041.737955506,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,910455.718169018,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,7425075.646621316,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,32160756.99132772,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,401183.3346499582,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,4593957.179865483,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,59873.15438621713,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,2886669.45405406,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,33618.9974697754,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,1021404.1943302,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,54857.4316108101,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,13616357.2489752,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,574315.2225796651,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,7784417.5197952,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,1396299.880801333,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,1040984.67402519,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,8492321.150867661,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,35412791.27001443,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,523576.1124227647,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,5126292.360874089,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,68591.57871899655,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,3368677.722395465,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,39630.8318630748,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,1066440.358205292,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,60560.5630382209,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,15081955.98985366,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,694723.7173421098,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,8849081.913003648,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,1523085.382987603,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,1039872.353004328,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,8034343.457616393,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,34902577.75112898,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,445809.0845993076,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,5325231.38951296,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,80786.26640500744,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,3209467.945027817,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,41347.2052789411,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,969191.9851969013,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,61392.1829880762,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,14492512.49865094,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,573375.9963547353,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,8704071.034650939,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,1470876.961552671,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,1128396.548592287,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,8539829.51625956,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,40511618.42690315,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,466660.0122364396,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,5546830.105014799,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,88291.00405098025,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,3363003.191416701,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,44750.6662517425,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,1154802.183695919,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,65253.5751660141,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,15477512.63662366,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,579258.4621569037,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,9476245.885363674,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,1678861.069506466,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,1204727.07955281,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,10239701.67287392,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,46744160.06143177,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,439136.2085866651,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,6592281.755508016,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,95497.61634155788,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,3777263.50910495,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,,,
