country,indicator,year,value,COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,TYPE_OF_TRANSFORMATION,2024,Country,Manual Sovereign Default Label,Year of Default,Default Type
Myanmar,"Turnover and other general taxes on goods and services, Transactions",2012.0,2.44847906320418,,,,,,,,,,,,
Myanmar,"Sales taxes, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Motor vehicles taxes, Transactions",2012.0,0.587398858642662,,,,,,,,,,,,
Myanmar,"Exchange taxes, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Other taxes on international trade and transactions, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Other taxes, Transactions",2012.0,0.104467702913078,,,,,,,,,,,,
Myanmar,"Grants receivable, Other general government, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Grants receivable from foreign governments: current grants, Transactio",2012.0,0.0429692319477328,,,,,,,,,,,,
Myanmar,"Taxes on payroll and workforce, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Taxes on financial and capital transactions, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Other social contributions: employer contributions, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Current grants receivable, International Organizations, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Recurrent taxes on immovable property, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Grants receivable, International Organizations, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Interest (before FISIM allocation), receivable, Transactions",2012.0,0.0076725969514019,,,,,,,,,,,,
Myanmar,"Other social contributions, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Social contributions, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Taxes on property, Transactions",2012.0,0.0007411429123903,,,,,,,,,,,,
Myanmar,"Taxes on immovable property, Transactions",2012.0,0.0007411429123903,,,,,,,,,,,,
Myanmar,"Tax, property, estate, inheritance, and gift taxes, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Taxes on international trade and transactions, Transactions",2012.0,0.754194844623914,,,,,,,,,,,,
Myanmar,"Recurrent taxes on net wealth, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Taxes on exports, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"General taxes on goods and services, Transactions",2012.0,2.44847906320418,,,,,,,,,,,,
Myanmar,"Taxes, Transactions",2012.0,6.91717249206825,,,,,,,,,,,,
Myanmar,Other taxes on use of goods and on permission to use goods or perform ,2012.0,0.0008016694332451,,,,,,,,,,,,
Myanmar,"Taxes on income, profits, and capital gains, Transactions",2012.0,2.94699415713267,,,,,,,,,,,,
Myanmar,"Grants receivable from foreign governments: capital grants, Transactio",2012.0,0.010161141566302,,,,,,,,,,,,
Myanmar,"Grants receivable from foreign governments, Transactions",2012.0,0.0531303735140348,,,,,,,,,,,,
Myanmar,"Capital grants receivable, International Organizations, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Capital grants receivable, Other general government, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Current grants receivable, Other general government, Transactions",2012.0,0.0,,,,,,,,,,,,
Myanmar,"Other revenue, Transactions",2012.0,2.49936719632114,,,,,,,,,,,,
Myanmar,"Revenue, Transactions",2012.0,9.46967006190343,,,,,,,,,,,,
United Kingdom,"Taxes, Transactions",2012.0,2.510306556224343e-05,,,,,,,,,,,,
United Kingdom,"Capital grants receivable, Other general government, Transactions",2012.0,7.865952039866606e-07,,,,,,,,,,,,
United Kingdom,"Other social contributions: employee contributions, Transactions",2012.0,1.342113478612255e-09,,,,,,,,,,,,
United Kingdom,"Taxes on goods and services, Transactions",2012.0,1.159422657793157e-05,,,,,,,,,,,,
United Kingdom,"Revenue, Transactions",2012.0,3.365903898839655e-05,,,,,,,,,,,,
United Kingdom,"Turnover and other general taxes on goods and services, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Exchange taxes, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Other taxes on international trade and transactions, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Current grants receivable, Other general government, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Taxes on income, profits, and capital gains, Transactions",2012.0,1.157666239718973e-05,,,,,,,,,,,,
United Kingdom,"Taxes on property, Transactions",2012.0,1.77433237148534e-06,,,,,,,,,,,,
United Kingdom,"Recurrent taxes on net wealth, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Other social contributions, Transactions",2012.0,6.786425980982838e-08,,,,,,,,,,,,
United Kingdom,"Other revenue, Transactions",2012.0,1.607151714258205e-06,,,,,,,,,,,,
United Kingdom,"Recurrent taxes on immovable property, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Other taxes on income, profits, and capital gains, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Other social contributions: employer contributions, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,Other taxes on use of goods and on permission to use goods or perform ,2012.0,3.508751455171951e-07,,,,,,,,,,,,
United Kingdom,"Grants receivable from foreign governments: capital grants, Transactio",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Grants receivable, International Organizations, Transactions",2012.0,7.060683952699253e-09,,,,,,,,,,,,
United Kingdom,"Grants receivable from foreign governments, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Taxes on financial and capital transactions, Transactions",2012.0,5.203899131419168e-07,,,,,,,,,,,,
United Kingdom,"Other taxes, Transactions",2012.0,1.578442156367891e-07,,,,,,,,,,,,
United Kingdom,"Capital grants receivable, International Organizations, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"General taxes on goods and services, Transactions",2012.0,7.316093982955159e-06,,,,,,,,,,,,
United Kingdom,"Tax, property, estate, inheritance, and gift taxes, Transactions",2012.0,1.803683809734991e-07,,,,,,,,,,,,
United Kingdom,"Taxes on immovable property, Transactions",2012.0,1.591746585634134e-06,,,,,,,,,,,,
United Kingdom,"Grants receivable, Transactions",2012.0,7.936558879393598e-07,,,,,,,,,,,,
United Kingdom,"Taxes on exports, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Social contributions, Transactions",2012.0,6.155165823955559e-06,,,,,,,,,,,,
United Kingdom,"Current grants receivable, International Organizations, Transactions",2012.0,7.060683952699253e-09,,,,,,,,,,,,
United Kingdom,"Taxes on payroll and workforce, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Interest (before FISIM allocation), receivable, Other general governme",2012.0,2.688895178019682e-07,,,,,,,,,,,,
United Kingdom,"Taxes on income, profits, and capital gains, payable by corporations a",2012.0,2.602241329509282e-06,,,,,,,,,,,,
United Kingdom,"Other social contributions: imputed contributions, Transactions",2012.0,6.65221463312161e-08,,,,,,,,,,,,
United Kingdom,"Grants receivable, Other general government, Transactions",2012.0,7.865952039866606e-07,,,,,,,,,,,,
United Kingdom,"Sales taxes, Transactions",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Interest (before FISIM allocation), receivable, Transactions",2012.0,5.51200170390059e-07,,,,,,,,,,,,
United Kingdom,"Other taxes on goods and services, Transactions",2012.0,3.7929293960781113e-08,,,,,,,,,,,,
United Kingdom,"Motor vehicles taxes, Transactions",2012.0,3.431142284452199e-07,,,,,,,,,,,,
United Kingdom,"Taxes on income, profits, and capital gains, payable by individuals, T",2012.0,8.974421067680449e-06,,,,,,,,,,,,
United Kingdom,"Grants receivable from foreign governments: current grants, Transactio",2012.0,0.0,,,,,,,,,,,,
United Kingdom,"Taxes on international trade and transactions, Transactions",2012.0,0.0,,,,,,,,,,,,
Bangladesh,Total Revenue (Taxes + Grants + Social Contributions),2012.0,9.364994825645084,,,,,,,,,,,,
Brazil,Total Revenue (Taxes + Grants + Social Contributions),2012.0,14.365764257992302,,,,,,,,,,,,
"China, People's Republic of",Total Revenue (Taxes + Grants + Social Contributions),2012.0,10.30411095365396,,,,,,,,,,,,
France,Total Revenue (Taxes + Grants + Social Contributions),2012.0,0.0,,,,,,,,,,,,
Germany,Total Revenue (Taxes + Grants + Social Contributions),2012.0,0.0,,,,,,,,,,,,
India,Total Revenue (Taxes + Grants + Social Contributions),2012.0,12.191188464211116,,,,,,,,,,,,
Italy,Total Revenue (Taxes + Grants + Social Contributions),2012.0,0.0,,,,,,,,,,,,
Japan,Total Revenue (Taxes + Grants + Social Contributions),2012.0,0.0,,,,,,,,,,,,
Myanmar,Total Revenue (Taxes + Grants + Social Contributions),2012.0,6.9900188524215725,,,,,,,,,,,,
Russian Federation,Total Revenue (Taxes + Grants + Social Contributions),2012.0,13.789462942038917,,,,,,,,,,,,
South Africa,Total Revenue (Taxes + Grants + Social Contributions),2012.0,22.96052382771217,,,,,,,,,,,,
Sri Lanka,Total Revenue (Taxes + Grants + Social Contributions),2012.0,10.28981007533289,,,,,,,,,,,,
"Türkiye, Republic of",Total Revenue (Taxes + Grants + Social Contributions),2012.0,18.0825101176522,,,,,,,,,,,,
United Kingdom,Total Revenue (Taxes + Grants + Social Contributions),2012.0,2.692238791164225e-05,,,,,,,,,,,,
United States,Total Revenue (Taxes + Grants + Social Contributions),2012.0,9.862530646396722,,,,,,,,,,,,
"China, People's Republic of","Grants receivable, International Organizations, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on income, profits, and capital gains, payable by individuals, T",2013.0,0.6571680833178188,,,,,,,,,,,,
"China, People's Republic of","Grants receivable from foreign governments, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Other taxes on goods and services, Transactions",2013.0,0.0466826487992192,,,,,,,,,,,,
"China, People's Republic of","Other taxes on international trade and transactions, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on property, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes, Transactions",2013.0,18.31739895035411,,,,,,,,,,,,
"Türkiye, Republic of",Other taxes on use of goods and on permission to use goods or perform ,2013.0,0.2986929811153647,,,,,,,,,,,,
"Türkiye, Republic of","General taxes on goods and services, Transactions",2013.0,6.091923659587375,,,,,,,,,,,,
"China, People's Republic of","Other social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on exports, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Other social contributions: imputed contributions, Transactions",2013.0,0.2094464929301377,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on payroll and workforce, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Sales taxes, Transactions",2013.0,0.0131532029580604,,,,,,,,,,,,
India,"Social contributions, Transactions",2013.0,0.0239996011935706,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on goods and services, Transactions",2013.0,12.5989346105377,,,,,,,,,,,,
"Türkiye, Republic of","Capital grants receivable, International Organizations, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Grants receivable from foreign governments: capital grants, Transactio",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on international trade and transactions, Transactions",2013.0,0.3753992279056124,,,,,,,,,,,,
India,"Other social contributions, Transactions",2013.0,0.0239996011935706,,,,,,,,,,,,
United States,"Other taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Taxes on exports, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Recurrent taxes on net wealth, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Capital grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Grants receivable, International Organizations, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Turnover and other general taxes on goods and services, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Interest (before FISIM allocation), receivable, Nonresidents, Transact",2013.0,0.0074072867346832,,,,,,,,,,,,
United States,"Grants receivable from foreign governments: capital grants, Transactio",2013.0,0.0,,,,,,,,,,,,
United States,"Taxes on income, profits, and capital gains, payable by corporations a",2013.0,1.76788665145203,,,,,,,,,,,,
United States,"Grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Interest (before FISIM allocation), receivable, Transactions",2013.0,0.1335082868427951,,,,,,,,,,,,
United States,"Taxes on immovable property, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Other taxes on income, profits, and capital gains, Transactions",2013.0,-0.0128792350709901,,,,,,,,,,,,
United States,"Taxes on property, Transactions",2013.0,0.1236443447907148,,,,,,,,,,,,
United States,"Grants receivable from foreign governments, Transactions",2013.0,0.0057343678496268,,,,,,,,,,,,
United States,"Other taxes on income, profits, and capital gains, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Other social contributions: imputed contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Taxes on international trade and transactions, Transactions",2013.0,0.2101100814985183,,,,,,,,,,,,
Russian Federation,"Taxes on income, profits, and capital gains, payable by corporations a",2013.0,0.4740654611236796,,,,,,,,,,,,
United States,"Motor vehicles taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Other taxes on goods and services, Transactions",2013.0,0.0061277170492293,,,,,,,,,,,,
South Africa,"Taxes on payroll and workforce, Transactions",2013.0,0.322480936122106,,,,,,,,,,,,
United States,"Other taxes on international trade and transactions, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Exchange taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes, Transactions",2013.0,12.93349227405516,,,,,,,,,,,,
United States,"Interest (before FISIM allocation), receivable, Other general governme",2013.0,0.0,,,,,,,,,,,,
United States,"Social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Other taxes, Transactions",2013.0,-0.000137013139053,,,,,,,,,,,,
South Africa,"Other taxes on income, profits, and capital gains, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Taxes on financial and capital transactions, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Other social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Taxes on property, Transactions",2013.0,0.0313872736298706,,,,,,,,,,,,
United States,"Capital grants receivable, International Organizations, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Revenue, Transactions",2013.0,24.0313910205325,,,,,,,,,,,,
United States,"Taxes on income, profits, and capital gains, Transactions",2013.0,9.593267449317043,,,,,,,,,,,,
United States,"Current grants receivable, International Organizations, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Taxes on payroll and workforce, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes on income, profits, and capital gains, payable by individuals, T",2013.0,0.0,,,,,,,,,,,,
United States,"Taxes on goods and services, Transactions",2013.0,0.5332097205828558,,,,,,,,,,,,
Russian Federation,"Grants receivable, International Organizations, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Grants receivable, Transactions",2013.0,0.0057343678496268,,,,,,,,,,,,
South Africa,"Taxes on income, profits, and capital gains, Transactions",2013.0,13.1250345266077,,,,,,,,,,,,
United States,"Revenue, Transactions",2013.0,12.27882238121402,,,,,,,,,,,,
United States,"Current grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Taxes on income, profits, and capital gains, payable by corporations a",2013.0,5.08785049034142,,,,,,,,,,,,
Russian Federation,"Taxes on income, profits, and capital gains, Transactions",2013.0,0.4611862260526894,,,,,,,,,,,,
Russian Federation,"Other social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Sales taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes on payroll and workforce, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Other social contributions: employee contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Revenue, Transactions",2013.0,18.68557787778184,,,,,,,,,,,,
South Africa,"Grants receivable from foreign governments, Transactions",2013.0,0.044516761829443,,,,,,,,,,,,
United States,"Other social contributions: employer contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Grants receivable, International Organizations, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Taxes on international trade and transactions, Transactions",2013.0,1.13177323818263,,,,,,,,,,,,
United States,"Taxes, Transactions",2013.0,10.46023041140239,,,,,,,,,,,,
South Africa,"Other taxes, Transactions",2013.0,0.0003247235275217,,,,,,,,,,,,
South Africa,"Taxes on income, profits, and capital gains, payable by individuals, T",2013.0,8.03718403626632,,,,,,,,,,,,
United States,"Recurrent taxes on immovable property, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Grants receivable from foreign governments: current grants, Transactio",2013.0,0.0057343678496268,,,,,,,,,,,,
United States,Other taxes on use of goods and on permission to use goods or perform ,2013.0,0.0,,,,,,,,,,,,
United States,"General taxes on goods and services, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Social contributions, Transactions",2013.0,-0.0100019591508753,,,,,,,,,,,,
Bangladesh,"Recurrent taxes on immovable property, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Other taxes on income, profits, and capital gains, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on income, profits, and capital gains, Transactions",2013.0,2.869489888927,,,,,,,,,,,,
Bangladesh,"Interest (before FISIM allocation), receivable, Financial corporations",2013.0,0.0248064262998664,,,,,,,,,,,,
Bangladesh,"Grants receivable from foreign governments: capital grants, Transactio",2013.0,0.110494984165791,,,,,,,,,,,,
Russian Federation,"Grants receivable from foreign governments, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Grants receivable, Transactions",2013.0,0.573737333634048,,,,,,,,,,,,
Bangladesh,"Taxes on financial and capital transactions, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Interest (before FISIM allocation), receivable, Other general governme",2013.0,0.0263236210626335,,,,,,,,,,,,
Bangladesh,"Grants receivable from foreign governments: current grants, Transactio",2013.0,0.21577862535315,,,,,,,,,,,,
Bangladesh,"Recurrent taxes on net wealth, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on goods and services, Transactions",2013.0,3.355362545324,,,,,,,,,,,,
Bangladesh,"Other social contributions: employee contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Other revenue, Transactions",2013.0,2.19799900443998,,,,,,,,,,,,
Bangladesh,"Other social contributions: employer contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Grants receivable, Other general government, Transactions",2013.0,0.1541397814347224,,,,,,,,,,,,
Russian Federation,"Taxes on international trade and transactions, Transactions",2013.0,6.815444575917686,,,,,,,,,,,,
Bangladesh,"Turnover and other general taxes on goods and services, Transactions",2013.0,0.0179911440532638,,,,,,,,,,,,
Bangladesh,"Tax, property, estate, inheritance, and gift taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
South Africa,"Taxes on goods and services, Transactions",2013.0,8.61202422186319,,,,,,,,,,,,
Bangladesh,"Grants receivable, International Organizations, Transactions",2013.0,0.247463724115106,,,,,,,,,,,,
Bangladesh,"Grants receivable from foreign governments, Transactions",2013.0,0.326273609518942,,,,,,,,,,,,
Bangladesh,"Current grants receivable, International Organizations, Transactions",2013.0,0.132973488210087,,,,,,,,,,,,
Bangladesh,Other taxes on use of goods and on permission to use goods or perform ,2013.0,0.0166899764722211,,,,,,,,,,,,
Bangladesh,"General taxes on goods and services, Transactions",2013.0,3.22492633389695,,,,,,,,,,,,
Bangladesh,"Other taxes on international trade and transactions, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Interest (before FISIM allocation), receivable, Transactions",2013.0,0.0511300473624999,,,,,,,,,,,,
Bangladesh,"Grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Current grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Capital grants receivable, International Organizations, Transactions",2013.0,0.114490235905019,,,,,,,,,,,,
United States,"Interest (before FISIM allocation), receivable, Financial corporations",2013.0,0.1261015925014847,,,,,,,,,,,,
Bangladesh,"Taxes on payroll and workforce, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on exports, Transactions",2013.0,0.0024947386121146,,,,,,,,,,,,
Bangladesh,"Sales taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes on goods and services, Transactions",2013.0,5.656861472084785,,,,,,,,,,,,
Bangladesh,"Taxes on income, profits, and capital gains, payable by corporations a",2013.0,2.00310578692614,,,,,,,,,,,,
South Africa,"Interest (before FISIM allocation), receivable, Transactions",2013.0,0.0668123278681787,,,,,,,,,,,,
South Africa,"Taxes, Transactions",2013.0,23.223024919933,,,,,,,,,,,,
Bangladesh,"Capital grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on property, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Exchange taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on international trade and transactions, Transactions",2013.0,2.41319961111771,,,,,,,,,,,,
Bangladesh,"Other social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
Russian Federation,"Interest (before FISIM allocation), receivable, Transactions",2013.0,0.1798982515767027,,,,,,,,,,,,
Bangladesh,"Interest (before FISIM allocation), receivable, Nonresidents, Transact",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Other taxes, Transactions",2013.0,0.324361059991165,,,,,,,,,,,,
Bangladesh,"Motor vehicles taxes, Transactions",2013.0,0.0511041908272356,,,,,,,,,,,,
Russian Federation,"Taxes on property, Transactions",2013.0,0.000137013139053,,,,,,,,,,,,
Bangladesh,"Taxes on income, profits, and capital gains, payable by individuals, T",2013.0,0.866384102000862,,,,,,,,,,,,
Bangladesh,"Other taxes on goods and services, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Tax, property, estate, inheritance, and gift taxes, Transactions",2013.0,0.1236443447907148,,,,,,,,,,,,
Bangladesh,"Revenue, Transactions",2013.0,11.7341494434339,,,,,,,,,,,,
United States,"Taxes on income, profits, and capital gains, payable by individuals, T",2013.0,7.825380797865014,,,,,,,,,,,,
Bangladesh,"Taxes on immovable property, Transactions",2013.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes, Transactions",2013.0,8.96241310535988,,,,,,,,,,,,
United States,"Other social contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
United States,"Other revenue, Transactions",2013.0,1.812857601962007,,,,,,,,,,,,
Russian Federation,"Other revenue, Transactions",2013.0,5.607947781442834,,,,,,,,,,,,
South Africa,"Other revenue, Transactions",2013.0,0.763849338769968,,,,,,,,,,,,
"China, People's Republic of","Taxes on payroll and workforce, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Recurrent taxes on immovable property, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","General taxes on goods and services, Transactions",2013.0,4.030581507803148,,,,,,,,,,,,
"China, People's Republic of",Other taxes on use of goods and on permission to use goods or perform ,2013.0,0.0040368278303812,,,,,,,,,,,,
"China, People's Republic of","Current grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Revenue, Transactions",2013.0,10.89411504584718,,,,,,,,,,,,
"China, People's Republic of","Taxes, Transactions",2013.0,9.85155609018337,,,,,,,,,,,,
"China, People's Republic of","Recurrent taxes on net wealth, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Capital grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Other taxes, Transactions",2013.0,0.0076037762393466,,,,,,,,,,,,
"China, People's Republic of","Turnover and other general taxes on goods and services, Transactions",2013.0,0.0428501827156991,,,,,,,,,,,,
"China, People's Republic of","Other revenue, Transactions",2013.0,1.04255895566381,,,,,,,,,,,,
"China, People's Republic of","Taxes on exports, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Grants receivable from foreign governments: current grants, Transactio",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Interest (before FISIM allocation), receivable, Transactions",2013.0,0.0230520285222938,,,,,,,,,,,,
"China, People's Republic of","Grants receivable, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on immovable property, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Other social contributions: employee contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on goods and services, Transactions",2013.0,6.316293897124363,,,,,,,,,,,,
"China, People's Republic of","Taxes on international trade and transactions, Transactions",2013.0,0.4484251942135962,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable from foreign governments: capital grants, Transactio",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Tax, property, estate, inheritance, and gift taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Motor vehicles taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Grants receivable, Other general government, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Sales taxes, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Social contributions, Transactions",2013.0,0.2094464929301377,,,,,,,,,,,,
"Türkiye, Republic of","Motor vehicles taxes, Transactions",2013.0,0.432906752762704,,,,,,,,,,,,
"Türkiye, Republic of","Other revenue, Transactions",2013.0,2.66430829744341,,,,,,,,,,,,
"China, People's Republic of","Taxes on income, profits, and capital gains, payable by corporations a",2013.0,2.422065139288245,,,,,,,,,,,,
"Türkiye, Republic of","Other social contributions: employer contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on immovable property, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable, Other general government, Transactions",2013.0,0.6182662108665784,,,,,,,,,,,,
"Türkiye, Republic of","Other taxes on income, profits, and capital gains, Transactions",2013.0,0.0286848926065229,,,,,,,,,,,,
"Türkiye, Republic of","Recurrent taxes on immovable property, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on income, profits, and capital gains, Transactions",2013.0,3.079233222606064,,,,,,,,,,,,
"China, People's Republic of","Other taxes on income, profits, and capital gains, Transactions",2013.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Capital grants receivable, International Organizations, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on income, profits, and capital gains, payable by corporations a",2013.0,1.499839105185722,,,,,,,,,,,,
"Türkiye, Republic of","Turnover and other general taxes on goods and services, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Other social contributions: employee contributions, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Interest (before FISIM allocation), receivable, Financial corporations",2013.0,,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable from foreign governments, Transactions",2013.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Capital grants receivable, Other general government, Transactions",2013.0,0.0949974830617323,,,,,,,,,,,,
"Türkiye, Republic of","Current grants receivable, International Organizations, Transactions",2013.0,0.0100665738451258,,,,,,,,,,,,
"China, People's Republic of","Taxes on financial and capital transactions, Transactions",2013.0,0.0763911487439502,,,,,,,,,,,,
"Türkiye, Republic of","Other taxes, Transactions",2013.0,0.2352448013102052,,,,,,,,,,,,
